Tue. Nov. 13, 2012             LANDSAT 5                 Time: 17:03
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L5178374            Path/Row: 170 / 072

L0R Reference Image: L51XXX1084174071700_HDF.123182149
Acquisition Date: Jun 22, 1984

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
170   072   2000-09-30


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1700720124  -17.813299   30.070594  1127.627       2.385     3.148     1.931     3.441
1700720125  -18.134592   30.373552  1208.262      -4.085     1.189    -4.204     0.620
1700720127  -17.262167   30.115527  1201.486       3.007    -2.929     3.378    -2.486
1700720128  -16.733693   29.931315  1150.529      -2.546    -3.137    -2.087    -3.456
1700720129  -18.055072   30.383233  1257.859      -0.431    -1.829    -0.177    -1.868
1700720131  -16.883037   31.130390  1246.379       0.701    -4.837     1.358    -4.686
1700720133  -16.616338   30.751229  1256.499      -6.991     1.788    -7.160     0.804
1700720135  -16.728416   30.310375  1158.515      -4.788    -1.122    -4.582    -1.770
1700720136  -17.916505   30.987635  1424.094       3.260    -5.843     4.019    -5.333
1700720140  -17.583030   30.751177  1420.850      -5.132    -0.366    -5.025    -1.064
1700720142  -17.124095   30.465645  1196.717      -1.573    -1.105    -1.404    -1.309
1700720145  -17.520670   30.415296  1335.211       1.627    -2.352     1.931    -2.104
1700720146  -17.910008   29.731221  1019.426       0.062    -1.743     0.300    -1.718
1700720148  -18.023790   29.932371  1094.251      -4.683    -0.366    -4.585    -1.002
1700720149  -16.868135   30.680159  1191.289       0.998     0.289     0.947     0.423
1700720151  -16.769878   31.271628  1090.191      -5.432     1.134    -5.528     0.374
1700720153  -17.611648   30.062569  1183.148       5.504    -0.746     5.548     0.016
1700720154  -16.697768   30.307993  1107.058      -0.734    -0.199    -0.698    -0.298
1700720161  -16.922389   30.591097  1077.775       5.880    -6.664     6.733    -5.783
1700720163  -18.109766   30.282979  1201.378       3.853    -1.412     4.005    -0.872
1700720164  -17.827141   31.048349  1506.753      -0.553    -1.474    -0.346    -1.532
1700720165  -17.852463   31.087413  1499.670      -3.055     1.567    -3.234     1.132
1700720166  -17.460002   30.926352  1350.598      -2.466    -1.830    -2.188    -2.147
1700720169  -17.865904   30.074259  1085.460      -3.504     7.015    -4.426     6.464
1700720170  -16.867646   30.637385  1172.810      -1.528    -1.862    -1.255    -2.052
1700720172  -16.534264   30.493708  1072.504       0.249     2.218    -0.059     2.228
1700720173  -17.619100   30.421243  1419.184      -2.230     3.550    -2.691     3.206
1700720175  -17.102982   29.815201  1180.868       0.852     6.843    -0.096     6.890
1700720179  -16.757340   30.410930  1059.955       7.544    -2.063     7.748    -1.002
1700720182  -17.416959   30.483651  1235.287       5.944     1.276     5.705     2.076
1700720186  -17.759779   31.088683  1540.544      -4.184     0.075    -4.146    -0.496
1700720187  -16.908515   29.780226  1215.941      -1.795     5.380    -2.516     5.077
1700720189  -16.577810   30.697719  1170.426      -0.530    -2.001    -0.248    -2.052
1700720191  -16.940454   30.653089  1192.147      -6.304    -1.408    -6.041    -2.259
1700720193  -17.128292   31.308383  1162.506       3.666    -1.628     3.848    -1.107
1700720194  -16.663497   30.447334   861.951      -4.284    -1.598    -4.019    -2.172
1700720195  -16.994749   31.019141  1240.394       5.039    -0.964     5.114    -0.261
1700720197  -16.821983   31.278193  1008.870       2.269     0.161     2.221     0.472
1700720199  -17.527656   30.289249  1255.246       1.430     4.013     0.866     4.166
1700720201  -16.929788   30.097283  1125.426       6.528     0.050     6.453     0.948
1700720206  -16.631134   30.459849  1059.074      -0.936    -1.576    -0.708    -1.689
1700720209  -16.931049   30.831993  1486.056      -2.160    -4.434    -1.526    -4.680
1700720211  -17.696462   30.156715  1252.913       3.615     0.184     3.551     0.676
1700720215  -16.778861   31.062473  1204.019       3.421     3.520     2.898     3.951
1700720216  -17.436477   31.066386  1175.447       5.633     3.134     5.140     3.871
1700720218  -16.711720   31.071309  1146.529       7.349     3.013     6.852     3.991
1700720219  -16.950429   30.696046  1261.633      -2.811    -4.107    -2.216    -4.448
1700720220  -17.843765   31.112693  1520.362       1.734     2.589     1.360     2.796
1700720221  -17.825390   30.028259  1084.325      -7.871     0.464    -7.853    -0.616
1700720222  -17.809087   30.778914  1386.458       5.196    -4.745     5.785    -3.983
1700720226  -17.213973   31.097763  1162.265       5.808     3.712     5.234     4.467
1700720228  -16.896051   31.072261  1282.759       6.198     6.468     5.237     7.247
1700720230  -16.940823   29.768140  1214.341       0.282     3.429    -0.192     3.432
1700720233  -17.834923   31.067790  1475.652      -0.348    -2.989     0.064    -3.002
1700720235  -16.651983   30.665910  1109.322       3.037     2.328     2.683     2.722
1700720236  -17.889581   31.004923  1429.869       3.467     4.783     2.774     5.201
1700720237  -16.997632   29.764071  1201.493      -3.287     3.863    -3.783     3.370
1700720238  -17.004238   30.569211  1140.516      -0.215    -1.889     0.047    -1.898
1700720239  -17.584842   30.100001  1200.760       1.366     0.481     1.287     0.663
1700720241  -17.534945   30.307214  1260.013       6.621     3.420     6.082     4.290
1700720242  -16.939663   31.187565  1102.258       6.290     0.576     6.140     1.433
1700720244  -16.635041   31.324862  1044.509       3.188     0.768     3.046     1.199
1700720245  -18.019638   30.427934  1250.271      -2.188     2.785    -2.545     2.457
1700720247  -17.592825   30.827350  1428.500       3.148    -1.324     3.293    -0.879
